category,name,label,response,breakdown,breakdown_category,year,percent,std_err
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1973,54.48,
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1974,61.61,
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1975,51.72,1.27
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1976,54.23,1.36
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1977,53.26,1.79
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1978,47.02,1.71
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1980,53.34,1.49
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1982,45.34,1.48
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1983,52.02,1.87
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1984,50.74,2.2
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1986,47.87,1.86
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1987,53.04,1.42
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1988,52.84,1.67
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1989,47.55,2.03
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1990,45.15,1.95
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1991,48.42,1.66
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1993,40.49,1.75
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1994,42.97,1.3
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1996,45.33,1.24
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,1998,45.47,1.52
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2000,44.77,1.32
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2002,38.18,1.8
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2004,37.28,2.35
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2006,40.53,1.4
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2008,39.28,1.62
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2010,42.24,1.61
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2012,39.91,1.45
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2014,38.9,1.48
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2016,36.46,1.32
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2018,38.61,1.48
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2021,37.69,1.17
Politics,conmedic,Confidence in medicine,A great deal,Total,Total,2022,33.42,1.62
